code,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),United Kingdom,Not United Kingdom,United Kingdom (%),Not United Kingdom (%)
E02000224,68.3368037480479,6.48099947943779,11.7516918271733,11.6866215512754,1.74388339406559,31.6631962519521,5895,1789,76.7178552837064,23.2821447162936
E02000225,77.6509621765096,3.92833443928334,3.58327803583278,13.8686131386861,0.968812209688122,22.3490378234904,6479,1056,85.985401459854,14.014598540146
E02000226,76.9200159172304,3.03753813503117,12.9194853428837,6.31383472609099,0.809125878763762,23.0799840827696,6163,1376,81.7482424724765,18.2517575275235
E02000227,79.9929892209272,4.00490754535098,6.02927000262904,8.9387433178512,1.03408991324161,20.0070107790728,9809,1602,85.960914906669,14.039085093331
E02000228,79.5242476015245,3.96898409777895,11.7098173215929,3.83756078328295,0.959390195820738,20.4757523984755,6433,1176,84.5446182152714,15.4553817847286
E02000229,74.6783809224976,5.44399121430813,3.63978663319736,15.0611860684029,1.17665516159398,25.3216190775024,5446,928,85.4408534672105,14.5591465327895
E02000230,68.3026381284221,6.56047784967646,15.5201592832255,7.94425087108014,1.67247386759582,31.6973618715779,7640,2405,76.0577401692384,23.9422598307616
E02000231,67.4560832791152,4.61938841899805,21.0409889394925,5.46519193233572,1.41834743005856,32.5439167208848,6002,1683,78.1001951854262,21.8998048145738
E02000232,82.9547285323022,3.72160463992267,7.97486708554857,4.49492508458192,0.853874657644595,17.0452714676978,5492,715,88.4807475430965,11.5192524569035
E02000233,75.3382233088835,5.15077424612877,10.4645476772616,7.90546047269764,1.14099429502853,24.6617766911165,5010,1125,81.6625916870416,18.3374083129584
E02000234,73.7255390751589,6.20715443101084,10.7191823507416,7.83996011467032,1.5081640284183,26.2744609248411,6529,1494,81.3785367069675,18.6214632930325
E02000235,81.3289322617681,3.93226176808266,7.72101033295063,5.74052812858783,1.27726750861079,18.6710677382319,5932,1036,85.1320321469575,14.8679678530425
E02000236,84.1232536884711,4.08669539104322,6.9852461156809,4.13892153022588,0.665883274578927,15.8767463115289,6762,897,88.2882882882883,11.7117117117117
E02000237,86.0468227424749,4.68227424749164,4.33444816053512,4.32107023411371,0.615384615384615,13.9531772575251,6673,802,89.2709030100334,10.7290969899666
E02006788,50.1728723404255,9.20212765957447,8.20478723404255,30.7579787234043,1.66223404255319,49.8271276595745,5648,1872,75.1063829787234,24.8936170212766
E02000238,47.7157894736842,3.72631578947368,30.7894736842105,13.6210526315789,4.14736842105263,52.2842105263158,4883,4617,51.4,48.6
E02000239,41.5777777777778,3.01111111111111,41.0555555555556,9.27777777777778,5.07777777777778,58.4222222222222,4073,4927,45.2555555555556,54.7444444444444
E02000240,47.1894788114954,4.81246955674623,25.4846566000974,17.3015099853872,5.21188504627375,52.8105211885046,5870,4395,57.1846078908914,42.8153921091086
E02000241,51.1522819701762,3.35893959933725,29.296580810363,11.9144449465281,4.27775267359542,48.8477180298238,3552,3087,53.5020334387709,46.4979665612291
E02000242,36.4039627384297,3.72615703090345,44.3885849475085,7.00872393908029,8.47257134407807,63.5960372615703,2798,3965,41.3721721129676,58.6278278870324
E02000243,48.9599247855212,4.23081443177812,27.3240098719003,12.4338935245035,7.05135738629686,51.0400752144788,4211,4298,49.4887765894935,50.5112234105065
E02000244,53.8622420524261,3.91801450083659,22.936419408812,8.44952593418851,10.8337981037368,46.1377579475739,3238,3934,45.1477969882878,54.8522030117122
E02000245,43.5017165277097,5.68906326630701,25.2942618930848,20.4757233938205,5.03923491907798,56.4982834722903,4650,3506,57.0132417851888,42.9867582148112
E02000246,45.4618198445359,5.52126200274348,23.7540009144947,18.9414723365341,6.32144490169182,54.5381801554641,5284,3464,60.4023776863283,39.5976223136717
E02000247,42.1711292200233,5.53938688397361,29.5886689949554,16.4629414047342,6.23787349631354,57.8288707799767,5435,4873,52.7260380287156,47.2739619712844
E02000248,53.0269975456777,4.37687482956095,23.6978456503954,5.83583310608127,13.0624488682847,46.9730024543223,2944,4390,40.1418052904281,59.8581947095719
E02000249,44.9553166688253,3.89845874886673,32.0295298536459,11.6047144152312,7.5119803134309,55.0446833311747,3774,3947,48.8796787980832,51.1203212019169
E02000250,75.7823338985664,4.6862956682596,11.8390627408663,2.51271774317866,5.17958994912903,24.2176661014336,4332,2155,66.7797132726993,33.2202867273008
E02000251,27.9330312185297,3.52467270896274,51.5609264853978,10.6998992950655,6.28147029204431,72.0669687814703,3543,4401,44.5996978851964,55.4003021148036
E02000252,48.8460745930352,6.95446115804657,17.0513084689883,17.6282711724706,9.5198846074593,51.1539254069648,4368,5338,45.0030908716258,54.9969091283742
E02000253,54.7238372093023,6.1046511627907,17.296511627907,15.2512458471761,6.62375415282392,45.2761627906977,5448,4184,56.5614617940199,43.4385382059801
E02000254,12.6159347413119,2.58129399932953,72.0415688903788,6.49234551346519,6.26885685551458,87.3840652586881,3935,5014,43.9713934517823,56.0286065482177
E02000255,61.500264131009,5.20866349709456,14.6645536185948,12.4564183835182,6.17010036978341,38.499735868991,5648,3817,59.6724775488642,40.3275224511358
E02000256,69.1569800248279,5.39442500846406,15.8898544182372,5.01072113756912,4.5480194109017,30.8430199751721,5011,3850,56.5511793251326,43.4488206748674
E02000257,62.6989414464431,4.8412169664668,21.9261233251906,4.89303427344733,5.64068398845214,37.3010585535569,6841,6668,50.6403138648309,49.3596861351691
E02000258,58.9450222882615,4.87369985141159,17.295690936107,9.74739970282318,9.13818722139673,41.0549777117385,3397,3333,50.4754829123328,49.5245170876672
E02000259,69.263862332696,5.52899936265137,13.527724665392,8.11026131293818,3.5691523263225,30.736137667304,3812,2464,60.7393244104525,39.2606755895475
E02000260,9.55223880597015,2.06659012629162,74.8909299655568,8.33524684270953,5.15499425947187,90.4477611940299,3434,5276,39.4259471871412,60.5740528128588
E02000261,50.9102730819246,5.0808099572729,16.8586290172766,14.3878877949099,12.762400148616,49.0897269180754,5059,5707,46.9905257291473,53.0094742708527
E02000262,62.8459383753502,5.40056022408964,13.624649859944,10.890756302521,7.23809523809524,37.1540616246499,4626,4299,51.8319327731092,48.1680672268908
E02000263,6.13560195926785,1.83036865171436,81.3096158803815,6.83165764372261,3.89275586491364,93.8643980407321,4184,7453,35.9542837501074,64.0457162498926
E02000264,66.6049611255091,4.77600888559793,17.0924349006541,4.73898556090337,6.78760952733555,33.3950388744909,4193,3910,51.74626681476,48.25373318524
E02000265,61.7051893155859,5.07239859699613,16.9709506250562,11.4938393740444,4.75762208831729,38.2948106844141,6224,4895,55.9762568576311,44.0237431423689
E02000266,22.7069986213608,4.64682507501419,43.7353012732139,22.982726461763,5.92814856864812,77.2930013786392,6258,6073,50.7501419187414,49.2498580812586
E02000267,71.3254403696217,5.14005197805371,12.3736644527866,7.89777649436904,3.26306670516893,28.6745596303783,4267,2659,61.6084319953797,38.3915680046203
E02000268,73.124599273349,5.17204530882667,11.743962385125,6.77495191280188,3.18444111989741,26.875400726651,5787,3571,61.8401367813635,38.1598632186365
E02000269,76.6402574894776,5.33547907897995,11.8346125278534,3.58999752413964,2.59965337954939,23.3597425105224,5314,2764,65.783609804407,34.216390195593
E02000270,48.029342285217,5.30896431679722,15.1436031331593,23.6851920925028,7.83289817232376,51.970657714783,3948,4095,49.0861618798956,50.9138381201044
E02000271,82.7887032382079,4.48026023953867,6.69821085317167,3.22342155847996,2.8094041106018,17.2112967617921,4361,2402,64.4832175070235,35.5167824929765
E02000272,74.1256668642561,4.43094250148192,13.7522228808536,4.90515708358032,2.7860106698281,25.8743331357439,4420,2328,65.5008891523414,34.4991108476586
E02000274,8.37980051833818,2.07335270556821,71.9154951700306,12.0317285792822,5.59962302678081,91.6201994816618,4670,8063,36.6763527841043,63.3236472158957
E02000275,17.0092931568572,2.35145029569135,65.5308363841172,8.61729090397071,6.49112925936356,82.9907068431428,3113,3989,43.83272317657,56.16727682343
E02000276,75.6471288307051,4.87950014876525,12.3772686700387,5.05801844689081,2.03808390360012,24.3528711692949,4087,2635,60.8003570365963,39.1996429634037
E02006791,75.6817165847117,4.58947995827746,9.6259871852183,7.56966174936671,2.53315452242587,24.3182834152883,4229,2482,63.0159439725823,36.9840560274177
E02000277,64.9343313091371,5.35235136280186,5.2393729699195,20.1807654286118,4.29317892952973,35.0656686908629,5068,2013,71.5718118909759,28.4281881090241
E02000278,60.9256535023198,6.07672286975218,6.74437026140093,21.9644675794953,4.2887857870318,39.0743464976802,6052,2785,68.4847799026819,31.5152200973181
E02000279,51.7977329082536,6.81898689337584,7.77541622387531,28.1083953241233,5.49946865037195,48.2022670917464,7307,3985,64.7095288699965,35.2904711300035
